network:,pyramidnet,depth,164,Loss:CrossEntropy,Dataset:,cifar100,Optimizer:,dngd,LearningRate:,0.1,BatchSize:,128,EpochRange:,300
Epoch,Train_Loss,Train_Accuracy,Train_Time
1,4.043930941530506,9.57,180.9
2,3.46179454283946,21.436,359.8
3,2.9633293298199352,33.266,539.2
4,2.6745226212474695,41.66,716.5
5,2.489492491992843,46.714,893.8
6,2.368688804109383,50.276,1070.2
7,2.267646352043542,53.492,1249.0
8,2.191466979053624,55.866,1430.6
9,2.1377378314962168,57.534,1604.9
10,2.087815653637547,59.094,1784.7
11,1.7311467856092526,71.298,1958.6
12,1.6187278178646742,75.01,2136.0
13,1.5687116436336352,76.658,2311.7
14,1.5239487279711477,78.262,2491.3
15,1.489334782980897,79.182,2670.4
16,1.4613074052059436,80.216,2846.1
17,1.4349213789795976,80.98,3020.8
18,1.410337874346682,81.892,3200.2
19,1.3928271062538753,82.344,3380.1
20,1.3681249350233151,83.304,3554.0
21,1.3501014477761506,83.93,3734.0
22,1.336532516247781,84.486,3908.2
23,1.3216913533027825,84.836,4086.9
24,1.3070393227555257,85.456,4266.5
25,1.2991217213213597,85.606,4445.9
26,1.285304542697604,85.972,4626.9
27,1.2784726702038893,86.168,4803.6
28,1.2685198070448074,86.512,4983.3
29,1.2594841718673706,86.908,5158.9
30,1.2508990353025744,87.188,5335.2
31,1.1164157509498889,92.628,5510.6
32,1.0668687239632277,94.496,5690.4
33,1.0504820465736682,95.072,5867.5
34,1.0352713730938905,95.72,6041.8
35,1.024391321422499,95.99,6220.3
36,1.0168306540955059,96.264,6399.2
37,1.0104204553472416,96.588,6574.7
38,1.0052717006419931,96.616,6756.3
39,0.999089341944136,96.882,6935.4
40,0.9934252700232484,96.976,7112.1
41,0.987931274696994,97.226,7285.8
42,0.9840311929392997,97.278,7462.8
43,0.9796570231542563,97.458,7637.1
44,0.9777127763499385,97.44,7814.7
45,0.9708057664849264,97.716,7990.4
46,0.9681086451806071,97.822,8166.3
47,0.9646808564510492,97.848,8347.8
48,0.9612887105368593,98.004,8524.3
49,0.9578468226410849,97.98,8701.5
50,0.9560136452050465,98.15,8877.3
51,0.9460495707324094,98.348,9053.4
52,0.943197653574102,98.518,9228.8
53,0.9410696151616323,98.58,9403.9
54,0.9396106849241135,98.588,9578.1
55,0.9402098751738858,98.592,9760.0
56,0.9401212374267676,98.68,9937.0
57,0.9386016950582909,98.648,10115.0
58,0.9376744981616965,98.698,10289.5
59,0.9374250540952853,98.672,10466.8
60,0.9368607214344736,98.624,10645.1
61,0.9379366035656551,98.648,10821.2
62,0.9361507520651269,98.688,11003.8
63,0.9359722170988312,98.734,11183.5
64,0.9353892794045646,98.7,11359.8
65,0.9358765155153201,98.768,11540.2
66,0.9359242835313158,98.668,11720.0
67,0.9349400635875399,98.712,11895.3
68,0.9336261615119017,98.812,12071.9
69,0.9347680557109511,98.734,12248.4
70,0.9331423196646259,98.724,12421.9
71,0.933382057472873,98.792,12598.8
72,0.9324751482595264,98.78,12776.8
73,0.9334456884037808,98.746,12954.6
74,0.9318420694917059,98.86,13132.4
75,0.9318974931221788,98.788,13313.0
76,0.9306802272491748,98.846,13490.0
77,0.9305681353029998,98.848,13665.3
78,0.9311688438705776,98.796,13843.1
79,0.9299299811463222,98.804,14021.5
80,0.9294893288856272,98.866,14198.1
81,0.9292359335343247,98.878,14375.1
82,0.9289535308433006,98.87,14552.3
83,0.9291935906080944,98.844,14729.6
84,0.9284540922440532,98.876,14905.8
85,0.9284658247552564,98.87,15084.0
86,0.9285482043195563,98.918,15264.6
87,0.9286984013169622,98.92,15441.3
88,0.9292215182043403,98.804,15615.9
89,0.9280709828562139,98.83,15793.7
90,0.927192739208641,98.934,15967.8
91,0.9265107358508098,98.904,16145.2
92,0.9259531350087022,98.92,16322.5
93,0.927147802794376,98.874,16500.8
94,0.9258033303958376,98.89,16677.4
95,0.9260141803785358,98.946,16856.6
96,0.9254542474856462,98.944,17035.9
97,0.9239675077940802,98.938,17213.1
98,0.9239009118750882,98.962,17387.8
99,0.9241508399434102,98.938,17566.5
100,0.9244744117607546,98.93,17747.7
101,0.9231403477661445,99.016,17924.7
102,0.9227990142219816,99.006,18100.0
103,0.9234350239834213,99.036,18280.8
104,0.922871578075087,98.962,18458.2
105,0.9223359423830076,98.962,18635.7
106,0.9229036624474294,99.026,18810.9
107,0.9232488509334261,99.016,18988.0
108,0.9232930117251014,99.04,19164.9
109,0.9220101351628218,99.04,19341.0
110,0.9221253453008355,98.968,19517.5
111,0.9227351718546485,98.994,19694.9
112,0.9235919479214018,98.978,19873.1
113,0.9228744726351765,99.054,20049.6
114,0.9232526642587179,98.992,20227.5
115,0.9219576938987692,99.042,20404.4
116,0.9232509098089564,98.956,20580.4
117,0.9228515509144425,98.956,20759.5
118,0.9232529909409526,98.916,20939.8
119,0.9229519609600076,99.038,21118.3
120,0.9220881919421808,99.016,21293.5
121,0.9228579055927598,98.986,21469.8
122,0.9219310097682202,99.022,21647.4
123,0.9227943007293564,98.936,21821.1
124,0.9204741367293746,99.058,21998.7
125,0.9229524070039734,98.968,22177.8
126,0.9208586142800957,99.042,22354.2
127,0.9215023429192546,99.036,22533.3
128,0.9218036837285132,99.032,22714.1
129,0.9221375801069353,98.99,22892.3
130,0.9218754102202023,99.028,23067.5
131,0.9217224407683858,99.084,23242.9
132,0.9216629217957597,99.048,23420.9
133,0.9218220942465546,99.014,23599.2
134,0.9230991833655121,98.968,23776.6
135,0.9224234200499551,98.992,23953.3
136,0.9218112059566371,99.002,24131.0
137,0.9211374010576312,99.0,24307.5
138,0.920943054701666,99.052,24486.2
139,0.9218663779061164,98.998,24664.6
140,0.9218810072640324,98.968,24842.0
141,0.9227940992016317,98.954,25018.1
142,0.9218840727110957,99.032,25196.5
143,0.9212605296193487,99.024,25378.4
144,0.9216137150364458,99.022,25558.2
145,0.9215695063781251,99.04,25732.7
146,0.9211051140904731,99.028,25915.0
147,0.9204292634259099,99.04,26092.3
148,0.9218072229639038,99.02,26269.2
149,0.9227885350851757,98.996,26445.1
150,0.9216612391459668,98.978,26619.1
151,0.9231206991178605,98.996,26796.1
152,0.9220246274757873,98.938,26972.9
153,0.9210682540293544,99.034,27150.6
154,0.9215630117584678,99.026,27327.8
155,0.9211229656053626,99.034,27506.0
156,0.9214635064534824,99.012,27681.4
157,0.921628631899119,99.058,27861.0
158,0.9207618762465084,99.012,28036.4
159,0.9228300026920445,98.996,28211.4
160,0.9222716399470864,98.948,28386.2
161,0.921002962552678,99.008,28563.4
162,0.9225576314170038,98.996,28744.1
163,0.9217174362648478,98.928,28920.2
164,0.9212083703721575,99.024,29100.0
165,0.9219144059873908,98.998,29284.2
166,0.9199471743515385,99.004,29463.1
167,0.9199230199884576,99.028,29637.4
168,0.9206448528162964,99.064,29813.0
169,0.9225342386518903,98.994,29998.5
170,0.9222109127227608,99.018,30174.2
171,0.9227707803706684,98.994,30354.3
172,0.9215183412022603,99.04,30530.5
173,0.9218308960690218,98.994,30707.4
174,0.9216864679170691,98.992,30884.3
175,0.9208766449138027,99.09,31066.6
176,0.9233461019328183,98.938,31243.4
177,0.9203912454188022,99.066,31419.6
178,0.9207627633038689,99.058,31599.0
179,0.92213885787198,99.002,31776.8
180,0.9213753286225107,99.0,31955.7
181,0.9210574930281286,98.986,32133.5
182,0.9218844913155831,99.076,32311.4
183,0.9224338343991038,99.014,32486.0
184,0.9211916489064541,99.024,32661.8
185,0.921140826571628,99.01,32839.6
186,0.9207490005761462,99.09,33019.4
187,0.9213775224088098,99.028,33197.2
188,0.9209153665910901,99.036,33376.1
189,0.9200960024238547,99.044,33550.1
190,0.9201665217309352,99.056,33725.9
191,0.9206860092899684,99.002,33906.3
192,0.9228783944988495,98.93,34086.3
193,0.9216459423989591,99.008,34263.7
194,0.9213044344616668,99.022,34440.9
195,0.9207984346258061,99.068,34616.7
196,0.9212094295360244,99.06,34793.0
197,0.9210272406982949,98.988,34972.1
198,0.9221517600671715,99.032,35151.9
199,0.9201570830076856,99.062,35327.4
200,0.9216979917357949,99.02,35501.9
201,0.9211903336407888,99.046,35679.8
202,0.9205922141404408,98.976,35861.1
203,0.921980707541756,98.958,36036.9
204,0.9216246146070378,99.014,36213.3
205,0.9201816363102945,99.04,36392.6
206,0.9215252477189769,99.006,36568.7
207,0.9209485993056041,98.952,36746.4
208,0.9209885812171584,98.99,36924.4
209,0.9217769293224111,98.984,37100.3
210,0.920871911756218,99.02,37280.7
211,0.9229766406366587,98.998,37458.4
212,0.9212092652040369,99.064,37635.8
213,0.9206002755543156,99.014,37812.4
214,0.9208326903755403,99.018,37988.6
215,0.9205183775528617,99.066,38163.3
216,0.9197741182868743,99.108,38339.3
217,0.9214657581675693,98.992,38521.2
218,0.9212241695665032,98.994,38695.7
219,0.9213946702535195,98.99,38872.1
220,0.9214500951035248,99.028,39048.4
221,0.9215452535378049,98.98,39226.4
222,0.9226348578472576,98.946,39405.3
223,0.9210065758746603,99.06,39582.4
224,0.9208708670742981,99.054,39760.5
225,0.9211636787790167,98.992,39940.2
226,0.9207963417558109,99.024,40120.7
227,0.9207358556940123,99.066,40297.6
228,0.9202614534846352,99.084,40481.4
229,0.9209930072050265,99.034,40658.9
230,0.9216685817979485,98.992,40834.7
231,0.9210098713560178,99.008,41011.0
232,0.9212638821138446,98.988,41200.0
233,0.9217342263292474,99.04,41380.3
234,0.9222588115336036,98.996,41557.2
235,0.9212438831548861,99.022,41735.2
236,0.922138794303855,98.962,41919.0
237,0.9200275439740447,99.066,42095.4
238,0.921514408362796,99.024,42278.2
239,0.921117655304082,99.06,42459.9
240,0.9214812799182999,98.976,42639.2
241,0.9216265009187371,99.0,42818.1
242,0.9217803809039123,99.002,42994.7
243,0.9203413517578788,99.058,43180.6
244,0.9215287957959772,99.048,43361.3
245,0.9229530780516622,98.984,43541.4
246,0.9219473437275119,98.96,43719.0
247,0.9207435236562549,98.962,43896.8
248,0.9211096681292404,99.014,44077.6
249,0.9215915360109276,99.05,44253.7
250,0.9206425860104963,99.068,44438.9
251,0.9206393627864321,98.996,44618.9
252,0.9213222751532064,98.994,44798.3
253,0.9209984752833081,98.996,44977.0
254,0.921006073884647,99.046,45154.5
255,0.9212353148728686,98.96,45332.9
256,0.9215035798299648,99.038,45512.1
257,0.9210502258347123,99.048,45692.3
258,0.9221433189214038,99.012,45873.5
259,0.9214117478226762,98.984,46055.2
260,0.9213007932428814,98.97,46243.4
261,0.9215864661099661,98.976,46422.5
262,0.9204154096905838,99.066,46600.8
263,0.9214499678148333,99.026,46778.8
264,0.9208487965871611,99.01,46962.7
265,0.9219179228138741,98.964,47140.5
266,0.9210560254733581,98.994,47319.7
267,0.9212918043746363,99.032,47498.3
268,0.9216962763110695,99.024,47675.2
269,0.920559232954479,99.006,47856.0
270,0.9220043320180206,98.968,48031.6
271,0.9201232153741296,99.062,48214.0
272,0.9214500653774232,99.032,48391.1
273,0.9202158632485763,99.042,48571.2
274,0.92089683594911,99.028,48750.2
275,0.9211263755703216,99.066,48931.4
276,0.9207288510049395,99.044,49110.3
277,0.9203144279892183,99.084,49292.2
278,0.921682033240033,99.062,49471.9
279,0.920875566237418,98.988,49650.3
280,0.9218668244074067,99.012,49831.3
281,0.9210381937758697,99.088,50008.9
282,0.9208848153233833,99.036,50189.3
283,0.9210335894313919,99.034,50368.7
284,0.9217347722224263,99.0,50550.6
285,0.9210118159003879,99.048,50729.3
286,0.9208371043205261,99.048,50912.0
287,0.921386966619955,99.006,51093.1
288,0.921389208577783,98.988,51271.9
289,0.9208437515341718,99.028,51450.5
290,0.921115468530094,99.02,51635.6
291,0.9198578480259537,99.1,51815.0
292,0.920564823290881,99.03,51994.7
293,0.9214066770070654,99.064,52172.5
294,0.9201732171161096,99.068,52356.6
295,0.9217334673227862,99.018,52538.0
296,0.9201835715557303,99.048,52714.7
297,0.9209177155628838,99.046,52895.4
298,0.9211676389055179,99.056,53072.6
299,0.9211471782011145,98.966,53254.1
300,0.9208744011266762,99.1,53436.1
